security,forecast_periods,mse,tu,mase,mape,rmse_return,nrmse_return,accuracy,precision,recall,fscore
MO,5,1.3835069700543037,1.0618421459287044,1.0108377670199913,1.9390267242475228,2.5977092345073034,1.345884130469286,0.5698838606327593,0.5910338517840805,0.8777173913043478,0.7063969382176053
MO,10,3.1038865192897274,1.1244552410283433,1.0180944655045938,2.91089532281459,3.7775045709727726,1.308474248567474,0.5926074728806751,0.5982623086470832,0.9711215580926796,0.7403993855606759
MO,30,11.36005317590482,1.2057666520128951,1.0179097900612224,5.4604581003402455,6.972194204615276,1.2591331808625683,0.6503467972256222,0.6506122448979592,0.9993730407523512,0.7881334981458592
MO,60,26.11205113987037,1.43461405518994,1.0183959025587188,8.016022361241017,10.334589542418302,1.2396287922241986,0.6824070204763895,0.6824070204763895,1.0,0.8112270243417784
MRK,1,0.4058046005919005,1.0250972108667444,1.0150184554715147,0.890859342812921,1.2406162198311612,1.4146638305985575,0.502411575562701,0.5164750957854406,0.5261514441842311,0.5212683681361175
MRK,5,1.8181246253496477,1.0227430256450922,1.0104342704209994,1.9714693702925108,2.643836611453979,1.3550192264047491,0.5056134723336007,0.5453920220082531,0.580952380952381,0.5626108549130897
MRK,10,3.249523550836728,1.034102428314989,1.0203036758286068,2.7839795455015306,3.602879456114928,1.3221291072909351,0.5040225261464201,0.5695652173913044,0.5515789473684211,0.5604278074866309
MRK,30,8.837304422127794,0.9979359841872356,0.9997312580585206,4.630254330034284,5.980625370396829,1.2727552767740142,0.5387438825448614,0.6207535515750463,0.6603153745072273,0.6399235912129895
MRK,60,13.635525286441492,0.9571571681805172,0.9778174033626712,6.080848152864325,8.05955675360091,1.2490264932610724,0.5516088591725867,0.6798539257455873,0.6712740384615384,0.6755367402479591
MSFT,1,1.1909986450293857,1.015243560761957,1.012623846953749,1.0494819359794996,1.4938691712778287,1.4476689104212712,0.49779027721976704,0.52,0.5859434682964094,0.5510057471264367
MSFT,5,4.728787797275435,1.0266663627218664,0.9993489092333192,2.3141889824164523,3.1386838606753167,1.3530177730163122,0.5515030060120241,0.596451058958214,0.7156593406593407,0.6506400249765845
MSFT,10,7.98940204818164,0.9776675472826722,0.9701901476679794,3.080867752640433,4.117833625765735,1.30165287318334,0.583668543845535,0.6330178759200841,0.781310837118754,0.6993900668022074
MSFT,30,17.142547144928315,0.8329986992867681,0.9201772817775984,5.156662623950163,6.837785542315563,1.2102746957217991,0.6548347613219094,0.6939552594002856,0.8777844671884407,0.7751196172248804
MSFT,60,37.13401879219517,0.7241748335612883,0.8646877868085888,7.294776531456039,9.7208419678718,1.1166741976727357,0.7091516924362724,0.7551907291163689,0.8921848260125499,0.8179916317991632
MS,1,0.3330129928239244,1.0295558453304996,1.0113759945096634,1.483195459317275,2.133994997948737,1.4570187120296114,0.5004012841091493,0.5084485407066052,0.5224940805051302,0.515375632541845
MS,5,1.6907655362312792,1.0329712424104849,1.0125088789212804,3.3680476392956096,4.534530826207678,1.370778063705938,0.5094263939029282,0.5356895356895357,0.5829562594268477,0.5583243048031781
MS,10,3.4352552907821656,1.031224754019613,1.0097538365759298,4.799004821399735,6.3765094506625255,1.3577817699444856,0.5040257648953301,0.5398009950248757,0.638235294117647,0.5849056603773586
